,file_name,path1_membrane_SINT,path1_bending_SINT,path2_membrane_SINT,path2_bending_SINT,path3_membrane_SINT,path3_bending_SINT,path4_membrane_SINT,path4_bending_SINT,path5_membrane_SINT,path5_bending_SINT,path6_membrane_SINT,path6_bending_SINT,path7_membrane_SINT,path7_bending_SINT,path8_membrane_SINT,path8_bending_SINT,path9_membrane_SINT,path9_bending_SINT,path10_membrane_SINT,path10_bending_SINT,path11_membrane_SINT,path11_bending_SINT,path12_membrane_SINT,path12_bending_SINT,path13_membrane_SINT,path13_bending_SINT,path14_membrane_SINT,path14_bending_SINT
1,10599855_0_sigma_1_d_2_RS.dat_PATH1.out,2.14E-07,7.74E-08,3.26E-07,3.23E-08,2.01E-07,7.11E-08,4.86E-08,5.64E-09,1.72E-06,2.25E-06,2.45E-06,3.60E-06,6.83E-08,1.10E-08,5.48E-07,2.22E-07,7.31E-07,4.35E-07,6.70E-07,3.80E-08,3.42E-07,1.20E-07,2.71E-07,2.21E-07,7.09E-07,7.71E-07,5.35E-07,4.79E-07
2,10599855_15_sigma_1_d_2_RS.dat_PATH1.out,2.09E-07,7.50E-08,3.18E-07,3.11E-08,1.96E-07,6.90E-08,4.68E-08,5.49E-09,1.69E-06,2.18E-06,2.39E-06,3.51E-06,6.56E-08,1.05E-08,5.42E-07,2.16E-07,7.18E-07,4.34E-07,6.60E-07,3.95E-08,3.35E-07,1.17E-07,2.66E-07,2.18E-07,6.95E-07,7.56E-07,5.23E-07,4.74E-07
3,10599855_30_sigma_1_d_2_RS.dat_PATH1.out,2.24E-07,8.03E-08,3.53E-07,3.45E-08,2.16E-07,7.54E-08,4.97E-08,6.27E-09,1.84E-06,2.42E-06,2.61E-06,3.85E-06,6.80E-08,1.09E-08,5.83E-07,2.39E-07,7.77E-07,4.63E-07,7.17E-07,3.95E-08,3.66E-07,1.27E-07,2.89E-07,2.36E-07,7.58E-07,8.24E-07,5.70E-07,5.12E-07
4,10599855_45_sigma_1_d_2_RS.dat_PATH1.out,2.39E-07,8.70E-08,3.72E-07,3.60E-08,2.29E-07,8.08E-08,5.49E-08,6.35E-09,1.94E-06,2.55E-06,2.77E-06,4.08E-06,7.71E-08,1.24E-08,6.08E-07,2.51E-07,8.15E-07,4.79E-07,7.43E-07,4.05E-08,3.82E-07,1.33E-07,3.11E-07,2.62E-07,8.16E-07,8.96E-07,6.14E-07,5.72E-07
5,10599855_60_sigma_1_d_2_RS.dat_PATH1.out,2.41E-07,8.93E-08,3.75E-07,3.52E-08,2.30E-07,8.10E-08,5.64E-08,5.99E-09,1.94E-06,2.58E-06,2.79E-06,4.11E-06,8.09E-08,1.30E-08,6.00E-07,2.52E-07,8.12E-07,4.69E-07,7.33E-07,4.02E-08,3.80E-07,1.33E-07,3.16E-07,2.71E-07,8.30E-07,9.19E-07,6.26E-07,5.97E-07
6,10599855_75_sigma_1_d_2_RS.dat_PATH1.out,2.27E-07,8.59E-08,3.52E-07,3.23E-08,2.16E-07,7.62E-08,5.43E-08,5.28E-09,1.82E-06,2.42E-06,2.62E-06,3.87E-06,7.93E-08,1.28E-08,5.53E-07,2.36E-07,7.55E-07,4.28E-07,6.74E-07,3.79E-08,3.53E-07,1.24E-07,3.01E-07,2.63E-07,7.89E-07,8.81E-07,5.97E-07,5.82E-07
7,10599855_90_sigma_1_d_2_RS.dat_PATH1.out,2.01E-07,7.72E-08,3.08E-07,2.89E-08,1.91E-07,6.84E-08,4.92E-08,4.64E-09,1.59E-06,2.12E-06,2.30E-06,3.41E-06,7.24E-08,1.17E-08,4.83E-07,2.07E-07,6.62E-07,3.74E-07,5.85E-07,3.38E-08,3.08E-07,1.08E-07,2.68E-07,2.39E-07,7.03E-07,7.91E-07,5.33E-07,5.29E-07
8,10599863_0_sigma_1_d_2_RS.dat_PATH1.out,1.99E-07,7.33E-08,2.94E-07,3.24E-08,1.87E-07,7.23E-08,4.93E-08,5.76E-09,1.54E-06,1.99E-06,2.23E-06,3.26E-06,6.92E-08,1.11E-08,4.93E-07,1.97E-07,6.57E-07,3.93E-07,5.90E-07,3.76E-08,3.03E-07,1.06E-07,2.61E-07,2.30E-07,6.84E-07,7.63E-07,5.19E-07,5.13E-07
9,10599863_15_sigma_1_d_2_RS.dat_PATH1.out,2.11E-07,7.79E-08,3.13E-07,3.46E-08,1.99E-07,7.69E-08,5.25E-08,6.15E-09,1.64E-06,2.11E-06,2.37E-06,3.46E-06,7.35E-08,1.18E-08,5.24E-07,2.09E-07,6.99E-07,4.17E-07,6.27E-07,3.99E-08,3.22E-07,1.13E-07,2.77E-07,2.43E-07,7.25E-07,8.08E-07,5.51E-07,5.42E-07
10,10599863_30_sigma_1_d_2_RS.dat_PATH1.out,2.10E-07,7.73E-08,3.10E-07,3.44E-08,1.97E-07,7.63E-08,5.21E-08,6.13E-09,1.63E-06,2.10E-06,2.35E-06,3.44E-06,7.29E-08,1.17E-08,5.19E-07,2.08E-07,6.93E-07,4.13E-07,6.22E-07,3.94E-08,3.19E-07,1.12E-07,2.74E-07,2.40E-07,7.18E-07,7.99E-07,5.45E-07,5.35E-07
11,10599863_45_sigma_1_d_2_RS.dat_PATH1.out,1.93E-07,7.13E-08,2.86E-07,3.19E-08,1.82E-07,7.06E-08,4.81E-08,5.68E-09,1.50E-06,1.94E-06,2.17E-06,3.17E-06,6.72E-08,1.08E-08,4.79E-07,1.92E-07,6.40E-07,3.81E-07,5.75E-07,3.62E-08,2.95E-07,1.03E-07,2.52E-07,2.21E-07,6.61E-07,7.35E-07,5.02E-07,4.91E-07
